id,currency_value_formatted,last_updated,currency_name,currency_value,currency_code
10297562,"83,700.58500001",2025-04-13 10:44:04.662213,Bitcoin,83700.585000010700000000,BTC
10297503,"83,675.75500034",2025-04-13 10:43:49.659243,Bitcoin,83675.755000343900000000,BTC
10297432,"83,666.45499966",2025-04-13 10:43:34.680124,Bitcoin,83666.454999660700000000,BTC
10297389,"83,674.01999971",2025-04-13 10:43:14.625862,Bitcoin,83674.019999708700000000,BTC
10297296,"83,673.99500003",2025-04-13 10:43:09.641878,Bitcoin,83673.995000025600000000,BTC
10297221,"83,676.85999989",2025-04-13 10:42:44.660001,Bitcoin,83676.859999891400000000,BTC
10297162,"83,693.81999998",2025-04-13 10:42:24.658927,Bitcoin,83693.819999977100000000,BTC
10297099,"83,703.87499970",2025-04-13 10:42:14.661703,Bitcoin,83703.874999697100000000,BTC
10297027,"83,737.23000009",2025-04-13 10:41:59.646471,Bitcoin,83737.230000086500000000,BTC
10296972,"83,737.77000023",2025-04-13 10:41:44.644976,Bitcoin,83737.770000226300000000,BTC
10296901,"83,717.47499976",2025-04-13 10:41:24.688981,Bitcoin,83717.474999761500000000,BTC
10296824,"83,728.76500002",2025-04-13 10:41:14.686071,Bitcoin,83728.765000018700000000,BTC
10296733,"83,758.24500014",2025-04-13 10:40:49.648816,Bitcoin,83758.245000141400000000,BTC
10296684,"83,757.81999971",2025-04-13 10:40:39.659728,Bitcoin,83757.819999708900000000,BTC
10296621,"83,738.62000030",2025-04-13 10:40:24.663810,Bitcoin,83738.620000298100000000,BTC
10296524,"83,760.55000020",2025-04-13 10:40:14.620921,Bitcoin,83760.550000196900000000,BTC
10296472,"83,786.04499966",2025-04-13 10:39:59.675046,Bitcoin,83786.044999664100000000,BTC
10296424,"83,772.88499966",2025-04-13 10:39:54.663313,Bitcoin,83772.884999663600000000,BTC
10296376,"83,786.04499966",2025-04-13 10:39:49.647348,Bitcoin,83786.044999664100000000,BTC
10296319,"83,772.88499966",2025-04-13 10:39:39.659885,Bitcoin,83772.884999663600000000,BTC
10296252,"83,779.66499965",2025-04-13 10:39:24.654107,Bitcoin,83779.664999651000000000,BTC
10296189,"83,782.70500019",2025-04-13 10:39:09.650055,Bitcoin,83782.705000187700000000,BTC
10296094,"83,772.56000004",2025-04-13 10:38:49.681602,Bitcoin,83772.560000043300000000,BTC
10296017,"83,748.05999988",2025-04-13 10:38:34.643340,Bitcoin,83748.059999880300000000,BTC
10295952,"83,731.39999988",2025-04-13 10:38:14.670890,Bitcoin,83731.399999881900000000,BTC
10295863,"83,721.70499991",2025-04-13 10:37:54.651853,Bitcoin,83721.704999913900000000,BTC
10295804,"83,730.14000017",2025-04-13 10:37:39.661075,Bitcoin,83730.140000168300000000,BTC
10295746,"83,731.71500013",2025-04-13 10:37:19.658139,Bitcoin,83731.715000126900000000,BTC
10295697,"83,747.21500032",2025-04-13 10:37:04.647263,Bitcoin,83747.215000319500000000,BTC
10295620,"83,760.04500031",2025-04-13 10:36:49.663968,Bitcoin,83760.045000309300000000,BTC
10295541,"83,742.20500027",2025-04-13 10:36:34.654599,Bitcoin,83742.205000266500000000,BTC
10295475,"83,710.32500030",2025-04-13 10:36:24.654952,Bitcoin,83710.325000295800000000,BTC
10295413,"83,710.20499983",2025-04-13 10:36:19.653521,Bitcoin,83710.204999827300000000,BTC
10295351,"83,710.32500030",2025-04-13 10:36:14.669036,Bitcoin,83710.325000295800000000,BTC
10295255,"83,710.20499983",2025-04-13 10:35:59.636542,Bitcoin,83710.204999827300000000,BTC
10295190,"83,714.97999995",2025-04-13 10:35:39.672079,Bitcoin,83714.979999951700000000,BTC
10295132,"83,723.87499984",2025-04-13 10:35:29.717607,Bitcoin,83723.874999842700000000,BTC
